beta,seed,overrelaxation_sweeps,schedule_label,runtime_seconds,mean_acceptance_rate,mean_plaquette,plaquette_tau_int,plaquette_ess,plaquette_ess_per_second,scalar_mean,scalar_tau_int,scalar_ess,scalar_ess_per_second,maximum_microcanonical_error
2.5,2026,0,M,2.274352625000006,0.7425925925925927,0.5375453562329214,7.2354500714609635,12.438756277925282,5.469141478413116,0.4645922584371246,4.948375442511354,18.18778729415164,7.99690738112855,0.0
2.5,2026,1,M+1OR,6.4452510830000165,0.7351388888888888,0.5550226142755942,11.355850205954019,7.925430361243391,1.229654246077006,0.4463867976468091,3.327813461041395,27.044785128020877,4.196079373750723,1.509903313490213e-14
2.5,2026,2,M+2OR,10.619078332999976,0.7405787037037036,0.5450265215864093,6.68692533859906,13.459100474846245,1.2674452577509088,0.4565310929255526,2.975207608358331,30.249989865299003,2.848645514864861,1.509903313490213e-14
2.5,2026,4,M+4OR,19.157709582999985,0.7336111111111112,0.5496885673393433,4.786671422332411,18.802209731819346,0.9814435097452308,0.4521178002567296,2.1118746700915945,42.616165284134304,2.2244916648047894,1.509903313490213e-14
2.5,2027,0,M,2.2674268750000124,0.7360185185185186,0.5581329192485337,9.826570312747423,9.158841501723991,4.039310640050494,0.4298973001234409,6.99199433988864,12.871863966845462,5.676859575392212,0.0
2.5,2027,1,M+1OR,6.45575287500003,0.7360185185185186,0.5509675395030023,3.666517428986066,24.54645361521941,3.802260416484622,0.4467278007620695,1.520717449210351,59.18259177385876,9.16741903226252,1.5987211554602254e-14
2.5,2027,2,M+2OR,10.812359249999986,0.7358333333333332,0.5619525576993643,12.344323893008827,7.290800272258835,0.6743024444233894,0.43552343610051714,6.712724176703435,13.407373464315091,1.24000443883837,1.5987211554602254e-14
2.5,2027,4,M+4OR,19.011219624999967,0.7379629629629628,0.544353541112686,8.63887876358483,10.418018641420682,0.5479931770248381,0.453772812806076,4.404776665690773,20.43236396092874,1.0747529282161337,1.5987211554602254e-14
2.5,2028,0,M,2.234396375000017,0.7390046296296295,0.5410311631471268,7.010493708468812,12.837897549394881,5.745577504973702,0.46269105381551023,8.77084055964365,10.261274206044467,4.592414452894191,0.0
2.5,2028,1,M+1OR,6.607849749999957,0.735185185185185,0.5394592227593316,12.015942982556709,7.490048856810581,1.13350774309156,0.45609530722419844,1.8399664890262346,48.91393432259231,7.402398083066678,1.4210854715202004e-14
2.5,2028,2,M+2OR,10.601321790999975,0.7354166666666668,0.5612994820934712,5.606888831434596,16.051682618606925,1.5141208742700416,0.44058568096665485,3.7840756445733454,23.783879724779524,2.2434824820590693,1.4210854715202004e-14
2.5,2028,4,M+4OR,18.826486417000012,0.7344212962962963,0.5624452471363811,9.439145644453498,9.53476123688001,0.5064546312938284,0.4358015927461082,6.314747133806196,14.252352167544792,0.7570372852299805,1.4210854715202004e-14
